 VARIABLES= X,Y,con
 ZONE I=          61 ,J=          19 ,T=TT
          41           5  0.33333285699180770     
          42           5  0.31666620537117063     
          43           5  0.29999955501491260     
          44           5  0.28333290587832771     
          45           5  0.26666625791336740     
          46           5  0.24999961106877155     
          47           5  0.23333296529020919     
          48           5  0.21666632052042750     
          49           5  0.19999967669940860     
          50           5  0.18333303376453414     
          51           5  0.16666639165075697     
          52           5  0.14999975029077939     
          53           5  0.13333310961523739     
          54           5  0.11666646955289120     
          55           5   9.9999830030820164E-002
          56           5   8.3333190974622884E-002
          57           5   6.6666552308620924E-002
          58           5   4.9999913956066448E-002
          59           5   3.3333275839352410E-002
          60           5   1.6666637880225387E-002
          61           5   0.0000000000000000     
           1           6   1.0000000000000000     
           2           6  0.98333330455585333     
           3           6  0.96666660919058356     
           4           6  0.94999991398285133     
           5           6  0.93333321901088606     
           6           6  0.91666652435227047     
           7           6  0.89999983008372852     
           8           6  0.88333313628091481     
           9           6  0.86666644301820805     
          10           6  0.84999975036850606     
          11           6  0.83333305840302629     
          12           6  0.81666636719111141     
          13           6  0.79999967680003803     
          14           6  0.78333298729483325     
          15           6  0.76666629873809578     
          16           6  0.74999961118982472     
          17           6  0.73333292470725531     
          18           6  0.71666623934470153     
          19           6  0.69999955515340750     
          20           6  0.68333287218140704     
          21           6  0.66666619047339204     
          22           6  0.64999951007058965     
          23           6  0.63333283101064963     
          24           6  0.61666615332754127     
          25           6  0.59999947705145973     
          26           6  0.58333280220874406     
          27           6  0.56666612882180378     
          28           6  0.54999945690905894     
          29           6  0.53333278648488869     
          30           6  0.51666611755959213     
          31           6  0.49999945013935981     
          32           6  0.48333278422625742     
          33           6  0.46666611981821937     
          34           6  0.44999945690905496     
          35           6  0.43333279548846515     
          36           6  0.41666613554207071     
          37           6  0.39999947705145189     
          38           6  0.38333281999419871     
          39           6  0.36666616434397242     
          40           6  0.34999951007057784     
          41           6  0.33333285714004574     
          42           6  0.31666620551472641     
          43           6  0.29999955515339249     
          44           6  0.28333290601135225     
          45           6  0.26666625804057198     
          46           6  0.24999961118980749     
          47           6  0.23333296540474469     
          48           6  0.21666632062814864     
          49           6  0.19999967680002012     
          50           6  0.18333303385776031     
          51           6  0.16666639173634229     
          52           6  0.14999975036848923     
          53           6  0.13333310968485879     
          54           6  0.11666646961423326     
          55           6   9.9999830083714797E-002
          56           6   8.3333191018925085E-002
          57           6   6.6666552344209304E-002
          58           6   4.9999913982843425E-002
          59           6   3.3333275857244611E-002
          60           6   1.6666637889183766E-002
          61           6   0.0000000000000000     
           1           7   1.0000000000000000     
           2           7  0.98333330456318235     
           3           7  0.96666660920522118     
           4           7  0.94999991400475758     
           5           7  0.93333321904000111     
           6           7  0.91666652438851426     
           7           7  0.89999983012700191     
           8           7  0.88333313633109922     
           9           7  0.86666644307516560     
          10           7  0.84999975043208076     
          11           7  0.83333305847304417     
          12           7  0.81666636726738029     
          13           7  0.79999967688234896     
          14           7  0.78333298738296053     
          15           7  0.76666629883179782     
          16           7  0.74999961128884474     
          17           7  0.73333292481132195     
          18           7  0.71666623945352959     
          19           7  0.69999955526669866     
          20           7  0.68333287229885076     
          21           7  0.66666619059466625     
          22           7  0.64999951019536206     
          23           7  0.63333283113857841     
          24           7  0.61666615345827569     
          25           7  0.59999947718464153     
          26           7  0.58333280234400786     
          27           7  0.56666612895877910     
          28           7  0.54999945704737030     
          29           7  0.53333278662415706     
          30           7  0.51666611769943560     
          31           7  0.49999945027939530     
          32           7  0.48333278436610094     
          33           7  0.46666611995748775     
          34           7  0.44999945704736632     
          35           7  0.43333279562544047     
          36           7  0.41666613567733457     
          37           7  0.39999947718463352     
          38           7  0.38333282012493308     
          39           7  0.36666616447190126     
          40           7  0.34999951019535036     
          41           7  0.33333285726132000     
          42           7  0.31666620563216996     
          43           7  0.29999955526668354     
          44           7  0.28333290612018025     
          45           7  0.26666625814463862     
          46           7  0.24999961128882744     
          47           7  0.23333296549844670     
          48           7  0.21666632071627581     
          49           7  0.19999967688233092     
          50           7  0.18333303393402911     
          51           7  0.16666639180636000     
          52           7  0.14999975043206398     
          53           7  0.13333310974181631     
          54           7  0.11666646966441749     
          55           7   9.9999830126988140E-002
          56           7   8.3333191055168940E-002
          57           7   6.6666552373324306E-002
          58           7   4.9999914004749804E-002
          59           7   3.3333275871882312E-002
          60           7   1.6666637896512654E-002
          61           7   0.0000000000000000     
           1           8   1.0000000000000000     
           2           8  0.98333330456888213     
           3           8  0.96666660921660530     
           4           8  0.94999991402179473     
           5           8  0.93333321906264421     
           6           8  0.91666652441670182     
           7           8  0.89999983016065621     
           8           8  0.88333313637012822     
           9           8  0.86666644311946262     
          10           8  0.84999975048152421     
          11           8  0.83333305852749828     
          12           8  0.81666636732669606     
          13           8  0.79999967694636365     
          14           8  0.78333298745149871     
          15           8  0.76666629890467164     
          16           8  0.74999961136585458     
          17           8  0.73333292489225654     
          18           8  0.71666623953816722     
          19           8  0.69999955535480729     
          20           8  0.68333287239018881     
          21           8  0.66666619068898358     
          22           8  0.64999951029240011     
          23           8  0.63333283123807105     
          24           8  0.61666615355995036     
          25           8  0.59999947728821934     
          26           8  0.58333280244920516     
          27           8  0.56666612906530744     
          28           8  0.54999945715493770     
          29           8  0.53333278673246864     
          30           8  0.51666611780819471     
          31           8  0.49999945038830351     
          32           8  0.48333278447486000     
          33           8  0.46666612006579938     
          34           8  0.44999945715493378     
