VARIABLES= X,Y,u,v,pre
ZONE I=64,J=64,T=TT
38,11,0,0,0.412691
39,11,0,0,0.396818
40,11,0,0,0.380945
41,11,0,0,0.365072
42,11,0,0,0.349199
43,11,0,0,0.333326
44,11,0,0,0.317454
45,11,0,0,0.301581
46,11,0,0,0.285708
47,11,0,0,0.269835
48,11,0,0,0.253962
49,11,0,0,0.23809
50,11,0,0,0.222217
51,11,0,0,0.206344
52,11,0,0,0.190472
53,11,0,0,0.174599
54,11,0,0,0.158726
55,11,0,0,0.142854
56,11,0,0,0.126981
57,11,0,0,0.111108
58,11,0,0,0.0952357
59,11,0,0,0.0793631
60,11,0,0,0.0634905
61,11,0,0,0.0476178
62,11,0,0,0.0317452
63,11,0,0,0.0158726
64,11,0,0,0
1,12,0,0,1
2,12,0,0,0.984127
3,12,0,0,0.968253
4,12,0,0,0.95238
5,12,0,0,0.936506
6,12,0,0,0.920633
7,12,0,0,0.90476
8,12,0,0,0.888886
9,12,0,0,0.873013
10,12,0,0,0.857139
11,12,0,0,0.841266
12,12,0,0,0.825393
13,12,0,0,0.809519
14,12,0,0,0.793646
15,12,0,0,0.777773
16,12,0,0,0.761899
17,12,0,0,0.746026
18,12,0,0,0.730153
19,12,0,0,0.714279
20,12,0,0,0.698406
21,12,0,0,0.682533
22,12,0,0,0.66666
23,12,0,0,0.650786
24,12,0,0,0.634913
25,12,0,0,0.61904
26,12,0,0,0.603167
27,12,0,0,0.587294
28,12,0,0,0.571421
29,12,0,0,0.555548
30,12,0,0,0.539675
31,12,0,0,0.523801
32,12,0,0,0.507928
33,12,0,0,0.492055
34,12,0,0,0.476182
35,12,0,0,0.460309
36,12,0,0,0.444436
37,12,0,0,0.428564
38,12,0,0,0.412691
39,12,0,0,0.396818
40,12,0,0,0.380945
41,12,0,0,0.365072
42,12,0,0,0.349199
43,12,0,0,0.333326
44,12,0,0,0.317454
45,12,0,0,0.301581
46,12,0,0,0.285708
47,12,0,0,0.269835
48,12,0,0,0.253962
49,12,0,0,0.23809
50,12,0,0,0.222217
51,12,0,0,0.206344
52,12,0,0,0.190472
53,12,0,0,0.174599
54,12,0,0,0.158726
55,12,0,0,0.142854
56,12,0,0,0.126981
57,12,0,0,0.111108
58,12,0,0,0.0952357
59,12,0,0,0.0793631
60,12,0,0,0.0634905
61,12,0,0,0.0476178
62,12,0,0,0.0317452
63,12,0,0,0.0158726
64,12,0,0,0
1,13,0,0,1
2,13,0,0,0.984127
3,13,0,0,0.968253
4,13,0,0,0.95238
5,13,0,0,0.936506
6,13,0,0,0.920633
7,13,0,0,0.90476
8,13,0,0,0.888886
9,13,0,0,0.873013
10,13,0,0,0.857139
11,13,0,0,0.841266
12,13,0,0,0.825393
13,13,0,0,0.809519
14,13,0,0,0.793646
15,13,0,0,0.777773
16,13,0,0,0.761899
17,13,0,0,0.746026
18,13,0,0,0.730153
19,13,0,0,0.714279
20,13,0,0,0.698406
21,13,0,0,0.682533
22,13,0,0,0.66666
23,13,0,0,0.650786
24,13,0,0,0.634913
